LineItem,Period,Value,Unit,ValueRaw,Company,Section
Profit before tax,FY2022,11739.0,Cr,"11,739",HUL,P&L
Profit before tax,FY2023,13079.0,Cr,"13,079",HUL,P&L
Profit before tax,FY2024,13675.0,Cr,"13,675",HUL,P&L
Profit before tax,FY2025,14304.0,Cr,"14,304",HUL,P&L
Profit before tax,FY2026,18487.0,Cr,"18,487",HUL,P&L
Tax %,FY2015,30.0,%,30%,HUL,P&L
Tax %,FY2016,30.0,%,30%,HUL,P&L
Tax %,FY2017,30.0,%,30%,HUL,P&L
Tax %,FY2018,28.0,%,28%,HUL,P&L
Tax %,FY2019,29.0,%,29%,HUL,P&L
Tax %,FY2020,26.0,%,26%,HUL,P&L
Tax %,FY2021,24.0,%,24%,HUL,P&L
Tax %,FY2022,25.0,%,25%,HUL,P&L
Tax %,FY2023,24.0,%,24%,HUL,P&L
Tax %,FY2024,26.0,%,26%,HUL,P&L
Tax %,FY2025,26.0,%,26%,HUL,P&L
Tax %,FY2026,17.0,%,17%,HUL,P&L
Net Profit,FY2015,4315.0,Cr,"4,315",HUL,P&L
Net Profit,FY2016,4137.0,Cr,"4,137",HUL,P&L
Net Profit,FY2017,4490.0,Cr,"4,490",HUL,P&L
Net Profit,FY2018,5237.0,Cr,"5,237",HUL,P&L
Net Profit,FY2019,6036.0,Cr,"6,036",HUL,P&L
Net Profit,FY2020,6738.0,Cr,"6,738",HUL,P&L
Net Profit,FY2021,7954.0,Cr,"7,954",HUL,P&L
Net Profit,FY2022,8818.0,Cr,"8,818",HUL,P&L
Net Profit,FY2023,9962.0,Cr,"9,962",HUL,P&L
Net Profit,FY2024,10114.0,Cr,"10,114",HUL,P&L
Net Profit,FY2025,10644.0,Cr,"10,644",HUL,P&L
Net Profit,FY2026,15427.0,Cr,"15,427",HUL,P&L
EPS in Rs,FY2015,19.95,Rs,19.95,HUL,P&L
EPS in Rs,FY2016,19.12,Rs,19.12,HUL,P&L
EPS in Rs,FY2017,20.75,Rs,20.75,HUL,P&L
EPS in Rs,FY2018,24.19,Rs,24.19,HUL,P&L
EPS in Rs,FY2019,27.88,Rs,27.88,HUL,P&L
EPS in Rs,FY2020,31.13,Rs,31.13,HUL,P&L
EPS in Rs,FY2021,33.85,Rs,33.85,HUL,P&L
EPS in Rs,FY2022,37.53,Rs,37.53,HUL,P&L
EPS in Rs,FY2023,42.4,Rs,42.40,HUL,P&L
EPS in Rs,FY2024,43.05,Rs,43.05,HUL,P&L
EPS in Rs,FY2025,45.3,Rs,45.30,HUL,P&L
EPS in Rs,FY2026,65.66,Rs,65.66,HUL,P&L
Dividend Payout %,FY2015,75.0,%,75%,HUL,P&L
Dividend Payout %,FY2016,84.0,%,84%,HUL,P&L
Dividend Payout %,FY2017,82.0,%,82%,HUL,P&L
Dividend Payout %,FY2018,82.0,%,82%,HUL,P&L
Dividend Payout %,FY2019,79.0,%,79%,HUL,P&L
Dividend Payout %,FY2020,80.0,%,80%,HUL,P&L
Dividend Payout %,FY2021,120.0,%,120%,HUL,P&L
Dividend Payout %,FY2022,91.0,%,91%,HUL,P&L
Dividend Payout %,FY2023,92.0,%,92%,HUL,P&L
Dividend Payout %,FY2024,98.0,%,98%,HUL,P&L
Dividend Payout %,FY2025,117.0,%,117%,HUL,P&L
Dividend Payout %,FY2026,62.0,%,62%,HUL,P&L
Equity Capital,FY2015,216.0,Cr,216,HUL,BalanceSheet
Equity Capital,FY2016,216.0,Cr,216,HUL,BalanceSheet
Equity Capital,FY2017,216.0,Cr,216,HUL,BalanceSheet
Equity Capital,FY2018,216.0,Cr,216,HUL,BalanceSheet
Equity Capital,FY2019,216.0,Cr,216,HUL,BalanceSheet
Equity Capital,FY2020,216.0,Cr,216,HUL,BalanceSheet
Equity Capital,FY2021,235.0,Cr,235,HUL,BalanceSheet
